Time (s): 0
1	S: 3. N: 2. P: 2. 
1	S: 2. 
Time (s): 103
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 104
1	S: 3. P: 2. 
1	S: 1. 
1	S: 2. 
445	N: 1. 
1	S: 4. N: 1. P: 2. 
Time (s): 105
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 106
1	S: 3. P: 2. 
1	S: 4. P: 2. 
446	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 107
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 108
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 109
1	S: 3. P: 2. 
1	S: 4. P: 2. 
446	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 110
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 111
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 112
1	S: 4. N: 2. P: 2. 
1	S: 3. N: 1. P: 2. 
443	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 113
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 114
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 115
1	S: 3. P: 2. 
1	S: 4. N: 1. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 116
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 117
1	S: 4. P: 2. 
444	N: 1. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
1	S: 2. 
Time (s): 118
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 119
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 120
